Valuedrug,Valuetime,Valueage,SumPrevalens_pr_1000
N05CD,2010,15 - 19,1.223215006426536
N05CD,2011,15 - 19,1.216864381391240
N05CD,2012,15 - 19,1.296525557875546
N05CD,2013,15 - 19,1.534640345633055
N05CD,2014,15 - 19,2.008291506741462
N05CD,2015,15 - 19,2.210117975421275
N05CD,2016,15 - 19,2.516646081554191
N05CD,2017,15 - 19,2.697191179405308
N05CD,2018,15 - 19,2.940569219122459
N05CD,2019,15 - 19,2.928612322191395
N05CD,2020,15 - 19,3.025407083570931
N05CF,2010,15 - 19,4.628968463406002
N05CF,2011,15 - 19,4.691413693739325
N05CF,2012,15 - 19,4.641007163226716
N05CF,2013,15 - 19,4.138598361817655
N05CF,2014,15 - 19,3.856657809270741
N05CF,2015,15 - 19,3.670209822883174
N05CF,2016,15 - 19,3.891050583657588
N05CF,2017,15 - 19,4.047345839153862
N05CF,2018,15 - 19,3.559965714214211
N05CF,2019,15 - 19,3.365859489521796
N05CF,2020,15 - 19,3.091934359754166
N05CH,2010,15 - 19,11.654693233820343
N05CH,2011,15 - 19,13.169314015868653
N05CH,2012,15 - 19,14.736044642362202
N05CH,2013,15 - 19,14.804040603255410
N05CH,2014,15 - 19,18.708173408129121
N05CH,2015,15 - 19,19.408462999735647
N05CH,2016,15 - 19,20.616067531550941
N05CH,2017,15 - 19,26.139368389543005
N05CH,2018,15 - 19,28.079307777492758
N05CH,2019,15 - 19,30.377668308702791
N05CH,2020,15 - 19,33.045048469872648
