Valuedrug,Valuetime,Valueage,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning
Sovemidler,2010,15 - 19,5287,16.414055175068767,322102
Sovemidler,2011,15 - 19,5772,17.826754338553908,323783
Sovemidler,2012,15 - 19,6286,19.358574006664326,324714
Sovemidler,2013,15 - 19,6243,19.238473248568593,324506
Sovemidler,2014,15 - 19,7524,23.139946855624446,325152
Sovemidler,2015,15 - 19,7804,23.988540584405604,325322
Sovemidler,2016,15 - 19,8228,25.469820367807980,323049
Sovemidler,2017,15 - 19,10005,31.196991618439433,320704
Sovemidler,2018,15 - 19,10549,33.000068821832788,319666
Sovemidler,2019,15 - 19,11096,34.904277472648460,317898
Sovemidler,2020,15 - 19,11788,37.343977697522651,315660
